,name,method,bar,kind,bands,link,paper_name,cr,err_cr_l,err_cr_r,cr_l,cr_r,err_range,altname,r25,r25_NED
138,UGC4165,F-B,False,ISM,"Halpha, HI",,F-B works,65.3,1.2,1.2,64.1,66.5,2.4,NGC 2500,73.98118011703016,86.5
139,UGC4165,F-B,False,ISM,"Halpha, HI",,F-B works,75.4,1.2,1.2,74.2,76.60000000000001,2.4,NGC 2500,73.98118011703016,86.5
140,UGC4273,F-B,False,ISM,"Halpha, HI",,F-B works,7.7,1.8,1.8,5.9,9.5,3.6,NGC 2543,72.79830285247247,70.35
141,UGC4273,F-B,False,ISM,"Halpha, HI",,F-B works,31.8,4.1,4.1,27.700000000000003,35.9,8.2,NGC 2543,72.79830285247247,70.35
142,UGC4273,F-B,False,ISM,"Halpha, HI",,F-B works,47.4,3.2,3.2,44.2,50.6,6.4,NGC 2543,72.79830285247247,70.35
143,UGC4273,F-B,False,ISM,"Halpha, HI",,F-B works,79.6,1.8,1.8,77.8,81.39999999999999,3.6,NGC 2543,72.79830285247247,70.35
144,UGC4284,F-B,False,ISM,"Halpha, HI",,F-B works,10.8,4.8,4.8,6.000000000000001,15.6,9.6,NGC 2541,90.59855161206048,189.3
145,UGC4284,F-B,False,ISM,"Halpha, HI",,F-B works,31.4,6.4,6.4,25.0,37.8,12.8,NGC 2541,90.59855161206048,189.3
146,UGC4284,F-B,False,ISM,"Halpha, HI",,F-B works,52.9,1.9,1.9,51.0,54.8,3.8,NGC 2541,90.59855161206048,189.3
147,UGC4284,F-B,False,ISM,"Halpha, HI",,F-B works,68.1,3.9,3.9,64.19999999999999,72.0,7.8,NGC 2541,90.59855161206048,189.3
148,UGC4284,F-B,False,ISM,"Halpha, HI",,F-B works,93.8,6.5,6.5,87.3,100.3,13.0,NGC 2541,90.59855161206048,189.3
149,UGC4325,F-B,False,ISM,"Halpha, HI",,F-B works,16.6,1.7,1.7,14.900000000000002,18.3,3.4,NGC 2552,89.56147856753881,104.0
150,UGC4325,F-B,False,ISM,"Halpha, HI",,F-B works,49.4,2.5,2.5,46.9,51.9,5.0,NGC 2552,89.56147856753881,104.0
151,UGC4325,F-B,False,ISM,"Halpha, HI",,F-B works,67.2,2.4,2.4,64.8,69.60000000000001,4.8,NGC 2552,89.56147856753881,104.0
152,UGC4422,F-B,False,ISM,"Halpha, HI",,F-B works,8.9,1.2,1.2,7.7,10.1,2.4,NGC 2595,49.78760722312682,94.85
153,UGC4422,F-B,False,ISM,"Halpha, HI",,F-B works,24.8,1.2,1.2,23.6,26.0,2.4,NGC 2595,49.78760722312682,94.85
154,UGC4422,F-B,False,ISM,"Halpha, HI",,F-B works,36.5,2.4,2.4,34.1,38.9,4.8,NGC 2595,49.78760722312682,94.85
155,UGC4422,F-B,False,ISM,"Halpha, HI",,F-B works,44.3,1.5,1.5,42.8,45.8,3.0,NGC 2595,49.78760722312682,94.85
156,UGC4555,F-B,False,ISM,"Halpha, HI",,F-B works,13.0,2.6,2.6,10.4,15.6,5.2,NGC 2649,43.96643522867734,47.55
157,UGC4555,F-B,False,ISM,"Halpha, HI",,F-B works,28.0,2.6,2.6,25.4,30.6,5.2,NGC 2649,43.96643522867734,47.55
158,UGC4555,F-B,False,ISM,"Halpha, HI",,F-B works,35.3,2.6,2.6,32.7,37.9,5.2,NGC 2649,43.96643522867734,47.55
159,UGC4936,F-B,False,ISM,"Halpha, HI",,F-B works,16.9,1.8,1.8,15.099999999999998,18.7,3.6,NGC 2805,101.65324684176076,189.3
160,UGC4936,F-B,False,ISM,"Halpha, HI",,F-B works,34.8,1.8,1.8,33.0,36.6,3.6,NGC 2805,101.65324684176076,189.3
161,UGC4936,F-B,False,ISM,"Halpha, HI",,F-B works,70.8,2.1,2.1,68.7,72.89999999999999,4.2,NGC 2805,101.65324684176076,189.3
162,UGC4936,F-B,False,ISM,"Halpha, HI",,F-B works,82.6,1.8,1.8,80.8,84.39999999999999,3.6,NGC 2805,101.65324684176076,189.3
163,UGC4936,F-B,False,ISM,"Halpha, HI",,F-B works,102.2,1.8,1.8,100.4,104.0,3.6,NGC 2805,101.65324684176076,189.3
164,UGC4936,F-B,False,ISM,"Halpha, HI",,F-B works,112.3,1.8,1.8,110.5,114.1,3.6,NGC 2805,101.65324684176076,189.3
165,UGC4936,F-B,False,ISM,"Halpha, HI",,F-B works,137.7,1.7,1.7,136.0,139.39999999999998,3.4,NGC 2805,101.65324684176076,189.3
166,UGC5175,F-B,False,ISM,"Halpha, HI",,F-B works,6.7,2.9,2.9,3.8,9.6,5.8,NGC 2977,62.39090061311088,54.6
167,UGC5175,F-B,False,ISM,"Halpha, HI",,F-B works,15.6,4.4,4.4,11.2,20.0,8.8,NGC 2977,62.39090061311088,54.6
168,UGC5175,F-B,False,ISM,"Halpha, HI",,F-B works,35.3,3.6,3.6,31.7,38.9,7.2,NGC 2977,62.39090061311088,54.6
169,UGC5228,F-B,False,ISM,"Halpha, HI",,F-B works,16.6,1.3,1.3,15.3,17.900000000000002,2.6,UGC 05228,68.2529229231621,73.65
170,UGC5228,F-B,False,ISM,"Halpha, HI",,F-B works,30.4,1.3,1.3,29.1,31.7,2.6,UGC 05228,68.2529229231621,73.65
171,UGC5228,F-B,False,ISM,"Halpha, HI",,F-B works,50.1,1.6,1.6,48.5,51.7,3.2,UGC 05228,68.2529229231621,73.65
