,name,objname,incl,False
573,UGC 06093,UGC06093,37.73,False
574,UGC 06109,UGC06109,37.72,False
575,UGC 06155,UGC06155,62.1,False
576,UGC 06211,UGC06211,26.32,False
577,UGC 06223,UGC06223,52.11,False
578,UGC 06429,UGC06429,19.86,False
579,UGC 06528,UGC06528,19.07,False
580,UGC 06758,UGC06758,31.88,False
581,UGC 06771,UGC06771,90,False
582,UGC 06828,UGC06828,36.29,False
583,UGC 06903,UGC06903,28.46,False
584,UGC 07020,UGC07020,40.01,False
585,UGC 08039,UGC08039,76.59,False
586,UGC 08050,UGC08050,40.68,False
587,UGC 08172,UGC08172,40.39,False
588,UGC 08231,UGC08231,74.45,False
589,UGC 08272,UGC08272,58.61,False
590,UGC 08370,UGC08370,17.49,False
591,UGC 08448,UGC08448,35.62,False
592,UGC 08657,UGC08657,40.62,False
593,UGC 08670,UGC08670,31.09,False
594,UGC 08878,UGC08878,38.66,False
595,UGC 09008,UGC09008,11.88,False
596,UGC 09084,UGC09084,30.71,False
597,UGC 09155,UGC09155,26.46,False
598,UGC 09396,UGC09396,35.16,False
599,UGC 09418,UGC09418,45.83,False
600,UGC 09734,UGC09734,49.76,False
601,UGC 10005,UGC10005,42.5,False
602,UGC 10104,UGC10104,36.3,False
603,UGC 10134,UGC10134,39.54,False
604,UGC 10168,UGC10168,40.21,False
605,UGC 10367,UGC10367,37.34,False
606,UGC 10415,UGC10415,38.44,False
607,UGC 10445,UGC10445,45.81,False
608,UGC 10502,UGC10502,39.96,False
609,UGC 10712,UGC10712,32.93,False
610,UGC 10842,UGC10842,67.72,False
611,UGC 11058,UGC11058,46.27,False
612,UGC 11124,UGC11124,22.55,False
613,UGC 11466,UGC11466,55.12,False
614,UGC 11555,UGC11555,59.95,False
615,UGC 11557,UGC11557,28.8,False
616,UGC 11861,UGC11861,75.01,False
617,UGC 12185,UGC12185,67.14,False
618,UGC 12635,UGC12635,22.13,False
619,UGC 12646,UGC12646,48.8,False
